city,fengxiang,yWendu,tianqi,bWendu,fengli,ymd
哈尔滨,西风,-21℃,晴,-6℃,微风,2015-02-13
哈尔滨,南风,-17℃,晴,-1℃,微风,2015-02-14
哈尔滨,西风,-18℃,晴,-2℃,微风,2015-02-15
哈尔滨,东南风~东风,-9℃,多云~阵雪,1℃,3-4级~微风,2015-02-16
哈尔滨,北风,-9℃,阵雪~多云,0℃,3-4级~微风,2015-02-17
哈尔滨,西北风,-18℃,晴,-2℃,3-4级~微风,2015-02-18
哈尔滨,南风,-16℃,晴,-2℃,微风,2015-02-19
哈尔滨,西南风,-2℃,晴~多云,4℃,3-4级~微风,2015-02-20
哈尔滨,西南风,-3℃,中到大雪~阵雪,1℃,3-4级,2015-02-21
哈尔滨,西风~西北风,-13℃,阵雪,-3℃,5-6级~3-4级,2015-02-22
哈尔滨,西风~西北风,-19℃,阵雪~多云,-5℃,4-5级~3-4级,2015-02-23
哈尔滨,西风,-24℃,晴,-7℃,微风,2015-02-24
哈尔滨,东风~东北风,-15℃,晴~阵雪,-6℃,微风~3-4级,2015-02-25
哈尔滨,北风,-17℃,阵雪~多云,-7℃,3-4级~微风,2015-02-26
邯郸,北风~南风,-5℃,晴~多云,4℃,微风,2015-02-01
邯郸,南风,-5℃,多云,6℃,微风,2015-02-02
邯郸,南风~北风,-2℃,霾~晴,6℃,微风~3-4级,2015-02-03
邯郸,北风,-4℃,晴,8℃,微风,2015-02-04
邯郸,南风,-3℃,晴~多云,8℃,微风,2015-02-05
邯郸,南风~北风,-2℃,多云~晴,8℃,微风~3-4级,2015-02-06
邯郸,北风,-7℃,多云~晴,6℃,4-5级~3-4级,2015-02-07
邯郸,南风,-5℃,晴,6℃,微风,2015-02-08
邯郸,南风,-2℃,晴,9℃,微风,2015-02-09
邯郸,南风,1℃,晴,13℃,3级,2015-02-10
邯郸,北风,-3℃,晴,11℃,微风,2015-02-11
邯郸,北风,-2℃,多云,9℃,微风,2015-02-12
邯郸,南风,4℃,霾,15℃,微风,2015-02-13
邯郸,南风~北风,5℃,霾~阴,18℃,微风,2015-02-14
邯郸,北风,2℃,阴~晴,9℃,3-4级,2015-02-15
邯郸,北风,-1℃,晴,14℃,微风,2015-02-16
邯郸,北风,0℃,晴,14℃,微风,2015-02-17
邯郸,北风,2℃,多云,9℃,微风,2015-02-18
哈尔滨,西风~西南风,-16℃,晴,-5℃,微风,2015-02-27
哈尔滨,西南风~西风,-9℃,阵雪,-2℃,3-4级,2015-02-28
邯郸,北风,1℃,阴~小雨,7℃,微风,2015-02-19
邯郸,北风,1℃,小雨~多云,5℃,微风,2015-02-20
邯郸,南风~北风,-2℃,雾~晴,9℃,微风~3-4级,2015-02-21
邯郸,北风,-3℃,晴,9℃,微风,2015-02-22
邯郸,南风,-1℃,多云~晴,10℃,微风,2015-02-23
邯郸,南风,2℃,多云,9℃,微风,2015-02-24
邯郸,北风,-2℃,霾~晴,10℃,微风~3-4级,2015-02-25
邯郸,北风,-1℃,晴~多云,9℃,微风,2015-02-26
邯郸,北风,-1℃,雨夹雪,5℃,微风,2015-02-27
邯郸,北风,0℃,多云~晴,8℃,微风,2015-02-28
广州,无持续风向,10℃,多云,17℃,微风,2015-02-01
广州,无持续风向,10℃,晴,19℃,微风,2015-02-02
广州,无持续风向,12℃,多云,21℃,微风,2015-02-03
广州,无持续风向,9℃,阴~多云,18℃,微风,2015-02-04
广州,北风,7℃,阴,15℃,3-4级,2015-02-05
广州,无持续风向,8℃,多云,17℃,微风,2015-02-06
广州,无持续风向,11℃,阴~多云,16℃,微风,2015-02-07
广州,无持续风向,7℃,多云,19℃,微风,2015-02-08
广州,无持续风向,6℃,晴,19℃,微风,2015-02-09
广州,无持续风向,9℃,晴~多云,19℃,微风,2015-02-10
广州,无持续风向,8℃,多云,19℃,微风,2015-02-11
广州,无持续风向,9℃,霾,22℃,微风,2015-02-12
广州,无持续风向,9℃,多云,24℃,微风,2015-02-13
广州,无持续风向,14℃,多云~小雨,22℃,微风,2015-02-14
广州,无持续风向,14℃,小雨~多云,21℃,微风,2015-02-15
广州,无持续风向,15℃,多云,23℃,微风,2015-02-16
广州,无持续风向,14℃,多云,23℃,微风,2015-02-17
广州,无持续风向,14℃,多云,25℃,微风,2015-02-18
广州,无持续风向,16℃,阴,22℃,微风,2015-02-19
广州,无持续风向,17℃,阴~小雨,22℃,微风,2015-02-20
广州,无持续风向,18℃,多云~小雨,24℃,微风,2015-02-21
广州,无持续风向,18℃,小雨~小到中雨,24℃,微风,2015-02-22
广州,无持续风向,18℃,小到中雨,23℃,微风,2015-02-23
广州,无持续风向,19℃,阵雨~阴,23℃,微风,2015-02-24
广州,无持续风向,20℃,阴,27℃,微风,2015-02-25
广州,无持续风向,20℃,阴,26℃,微风,2015-02-26
广州,无持续风向,19℃,阴,25℃,微风,2015-02-27
广州,无持续风向,13℃,阴~小雨,24℃,微风,2015-02-28
青岛,北风,-3℃,晴,2℃,3-4级,2015-02-01
青岛,无持续风向,-1℃,晴~多云,5℃,微风,2015-02-02
青岛,北风,0℃,多云,6℃,3-4级~4-5级,2015-02-03
青岛,北风,-2℃,晴,4℃,4-5级,2015-02-04
青岛,西北风~西南风,-1℃,晴,3℃,4-5级~3-4级,2015-02-05
青岛,南风~北风,0℃,晴~多云,6℃,3-4级,2015-02-06
青岛,西南风~西北风,-5℃,晴,6℃,3-4级~5-6级,2015-02-07
青岛,北风,-5℃,晴,0℃,4-5级,2015-02-08
青岛,西风,-5℃,晴,5℃,3-4级,2015-02-09
青岛,西南风,2℃,晴,8℃,3-4级,2015-02-10
青岛,北风,-2℃,多云,6℃,3-4级,2015-02-11
青岛,北风,-1℃,晴,6℃,3-4级,2015-02-12
青岛,南风,0℃,晴,7℃,3-4级,2015-02-13
青岛,南风,5℃,晴~阵雨,9℃,3-4级~4-5级,2015-02-14
青岛,南风~北风,5℃,小雨~阵雨,9℃,3-4级~5-6级,2015-02-15
青岛,北风,1℃,多云~晴,7℃,4-5级,2015-02-16
青岛,北风,0℃,晴,9℃,3-4级~4-5级,2015-02-17
青岛,北风,-2℃,晴,7℃,4-5级~3-4级,2015-02-18
青岛,北风~东南风,-1℃,晴~多云,6℃,3-4级,2015-02-19
青岛,东南风,4℃,阵雨~小雨,6℃,4-5级,2015-02-20
青岛,北风,0℃,雾~多云,9℃,3-4级~4-5级,2015-02-21
青岛,北风,-1℃,多云~晴,4℃,5-6级~3-4级,2015-02-22
青岛,北风~南风,1℃,晴~多云,6℃,3-4级,2015-02-23
青岛,南风,4℃,晴~多云,7℃,3-4级~4-5级,2015-02-24
青岛,南风~北风,-2℃,阴~多云,9℃,4-5级~5-6级,2015-02-25
青岛,北风,-1℃,晴,6℃,4-5级~3-4级,2015-02-26
青岛,东北风~东风,0℃,多云~阴,5℃,3-4级,2015-02-27
青岛,东北风~北风,1℃,阴~晴,4℃,3-4级~4-5级,2015-02-28
临沂,东风,-6℃,多云~晴,4℃,微风,2015-02-01
临沂,东风~北风,-6℃,晴~多云,5℃,微风,2015-02-02
临沂,西北风,-3℃,多云~晴,7℃,微风,2015-02-03
临沂,西北风,-4℃,多云~晴,6℃,微风,2015-02-04
临沂,北风,-5℃,晴~多云,7℃,微风,2015-02-05
临沂,南风,-5℃,多云,7℃,微风,2015-02-06
临沂,北风,-7℃,晴~多云,7℃,微风~4-5级,2015-02-07
临沂,北风~南风,-8℃,晴,3℃,3-4级~微风,2015-02-08
临沂,西南风,-6℃,晴~多云,6℃,微风,2015-02-09
临沂,西南风,-2℃,晴,10℃,3-4级,2015-02-10
临沂,北风,-4℃,晴~多云,11℃,3-4级,2015-02-11
临沂,东北风~东风,-3℃,晴~阴,10℃,微风,2015-02-12
临沂,南风,-2℃,晴~多云,12℃,3-4级,2015-02-13
临沂,西南风,0℃,多云~小雨,15℃,3-4级,2015-02-14
临沂,南风~北风,5℃,小雨~多云,11℃,3-4级~微风,2015-02-15
临沂,北风,-2℃,多云~晴,12℃,微风,2015-02-16
临沂,北风,-2℃,晴~多云,14℃,微风,2015-02-17
临沂,东风,-4℃,晴~多云,11℃,微风,2015-02-18
临沂,东风,-3℃,晴~多云,9℃,微风,2015-02-19
临沂,东风~北风,2℃,小雨,5℃,3-4级~微风,2015-02-20
临沂,北风,-1℃,晴~多云,11℃,微风~3-4级,2015-02-21
临沂,北风,-2℃,晴~多云,7℃,微风,2015-02-22
临沂,北风~南风,-2℃,多云,8℃,微风,2015-02-23
临沂,南风~北风,3℃,多云,12℃,微风~3-4级,2015-02-24
临沂,南风~北风,-1℃,阴~晴,15℃,微风~3-4级,2015-02-25
临沂,东北风,-1℃,晴~多云,10℃,3-4级,2015-02-26
临沂,东北风~东风,0℃,多云~雨夹雪,6℃,微风,2015-02-27
临沂,东南风~北风,-1℃,雨夹雪~多云,4℃,微风~3-4级,2015-02-28
石家庄,南风~北风,-4℃,多云,2℃,微风,2015-02-01
石家庄,南风~北风,-4℃,霾,3℃,微风,2015-02-02
石家庄,南风~西北风,-2℃,霾~晴,4℃,微风,2015-02-03
石家庄,西北风,-2℃,晴,8℃,3-4级~微风,2015-02-04
石家庄,西南风~西北风,-2℃,晴~多云,8℃,微风,2015-02-05
石家庄,西南风~北风,-1℃,多云,8℃,微风,2015-02-06
石家庄,北风,-4℃,晴,8℃,3-4级~微风,2015-02-07
石家庄,北风,-5℃,晴,4℃,微风,2015-02-08
石家庄,南风~北风,-3℃,晴,7℃,微风,2015-02-09
石家庄,南风,0℃,晴~多云,11℃,3级,2015-02-10
石家庄,北风,-2℃,多云~晴,10℃,微风,2015-02-11
石家庄,北风,-2℃,多云~霾,7℃,微风,2015-02-12
石家庄,南风~北风,2℃,霾,13℃,微风,2015-02-13
石家庄,南风~北风,1℃,霾,15℃,微风,2015-02-14
石家庄,北风,1℃,霾~多云,10℃,微风,2015-02-15
石家庄,西北风~北风,1℃,晴,12℃,微风,2015-02-16
石家庄,北风,0℃,晴,11℃,微风,2015-02-17
石家庄,北风,0℃,晴~多云,8℃,微风,2015-02-18
石家庄,北风,0℃,霾~阴,6℃,微风,2015-02-19
石家庄,南风~北风,0℃,雨夹雪~阴,3℃,微风,2015-02-20
石家庄,南风~西北风,-2℃,雾~晴,13℃,微风~3-4级,2015-02-21
石家庄,西北风,-3℃,晴,9℃,3-4级~微风,2015-02-22
石家庄,南风~北风,-2℃,多云~霾,7℃,微风,2015-02-23
石家庄,南风~北风,-1℃,霾,8℃,微风,2015-02-24
石家庄,北风,-2℃,多云~晴,9℃,3-4级~微风,2015-02-25
济宁,东风,-5℃,多云,4℃,微风,2015-02-01
济宁,东南风,-4℃,多云,5℃,微风,2015-02-02
济宁,南风~北风,-3℃,晴,7℃,微风,2015-02-03
济宁,北风,-5℃,多云~晴,6℃,3-4级,2015-02-04
石家庄,北风,-2℃,晴~多云,8℃,3-4级~微风,2015-02-26
石家庄,东北风,-1℃,小雪,3℃,微风,2015-02-27
石家庄,西北风,0℃,阴~晴,5℃,3-4级~微风,2015-02-28
济宁,北风~南风,-3℃,晴~多云,7℃,微风,2015-02-05
济宁,南风,-2℃,晴~多云,8℃,微风,2015-02-06
济宁,南风~北风,-6℃,多云~晴,7℃,微风~3-4级,2015-02-07
济宁,北风~南风,-4℃,晴,3℃,微风,2015-02-08
济宁,南风,-3℃,晴,8℃,微风~3-4级,2015-02-09
济宁,西北风,-14℃,晴,3℃,4-5级,2015-02-10
济宁,南风~北风,-3℃,晴,12℃,微风,2015-02-11
济宁,北风,-1℃,晴,11℃,微风,2015-02-12
济宁,南风,0℃,晴,13℃,微风,2015-02-13
济宁,南风,4℃,多云~小雨,17℃,微风,2015-02-14
济宁,南风~北风,3℃,小雨~多云,11℃,微风,2015-02-15
济宁,北风~南风,0℃,多云~晴,14℃,微风,2015-02-16
济宁,北风,1℃,晴,14℃,微风,2015-02-17
济宁,南风,-1℃,晴,11℃,微风,2015-02-18
济宁,东南风,2℃,多云~小雨,8℃,微风,2015-02-19
淄博,南风,-6℃,多云,5℃,微风,2015-02-01
淄博,南风,-4℃,多云,6℃,微风,2015-02-02
淄博,南风~北风,-5℃,多云,6℃,微风,2015-02-03
淄博,北风,-6℃,晴,4℃,微风,2015-02-04
淄博,北风~南风,-5℃,晴,4℃,微风,2015-02-05
淄博,南风,-4℃,晴,9℃,微风,2015-02-06
淄博,北风,-9℃,多云~晴,4℃,3-4级,2015-02-07
淄博,北风~南风,-7℃,晴,2℃,微风,2015-02-08
淄博,南风,-3℃,晴,7℃,3-4级,2015-02-09
淄博,西南风,-1℃,晴,12℃,3-4级,2015-02-10
淄博,北风,-6℃,晴,9℃,微风,2015-02-11
淄博,南风,-4℃,晴~多云,7℃,微风,2015-02-12
淄博,南风,-3℃,晴,12℃,微风,2015-02-13
淄博,南风,6℃,多云~小雨,18℃,3-4级,2015-02-14
济宁,南风~西北风,3℃,小雨,5℃,微风,2015-02-20
济宁,北风,0℃,多云~晴,12℃,微风,2015-02-21
济宁,北风,-2℃,多云,7℃,3-4级~微风,2015-02-22
济宁,南风,-2℃,晴~多云,8℃,微风,2015-02-23
济宁,南风,4℃,多云,13℃,微风,2015-02-24
济宁,南风~北风,0℃,多云~晴,13℃,微风~3-4级,2015-02-25
济宁,北风~东北风,2℃,晴~多云,11℃,微风,2015-02-26
济宁,东南风,1℃,多云~雨夹雪,7℃,微风,2015-02-27
济宁,南风~北风,-1℃,阴~多云,6℃,微风,2015-02-28
淄博,南风~北风,2℃,小雨~阴,9℃,3-4级,2015-02-15
淄博,北风,-2℃,多云~晴,11℃,微风~3-4级,2015-02-16
淄博,北风,-3℃,晴,11℃,3-4级,2015-02-17
淄博,北风~南风,-5℃,晴,10℃,微风~3-4级,2015-02-18
淄博,南风,-4℃,多云,10℃,微风,2015-02-19
淄博,南风~北风,2℃,小雨,7℃,微风,2015-02-20
淄博,南风~北风,-6℃,多云~晴,10℃,微风~3-4级,2015-02-21
淄博,北风,-5℃,多云~晴,7℃,3-4级,2015-02-22
淄博,北风~南风,-4℃,晴,8℃,微风~3-4级,2015-02-23
淄博,南风~北风,1℃,多云~阴,13℃,3-4级,2015-02-24
淄博,北风,-4℃,多云,10℃,3-4级,2015-02-25
淄博,北风~南风,-3℃,晴,7℃,3-4级~微风,2015-02-26
淄博,东北风,-1℃,多云~雨夹雪,7℃,微风,2015-02-27
淄博,东北风~南风,-2℃,阴~多云,6℃,微风,2015-02-28
东营,南风,-5℃,晴~多云,4℃,3-4级,2015-02-01
东营,无持续风向,-5℃,晴,5℃,微风,2015-02-02
东营,西南风~西北风,-2℃,多云,6℃,3-4级,2015-02-03
东营,西北风,-4℃,晴,4℃,3-4级,2015-02-04
东营,西北风~西南风,-3℃,晴,4℃,3-4级,2015-02-05
东营,西南风~西北风,-2℃,晴~多云,8℃,3-4级,2015-02-06
东营,东北风~西北风,-7℃,多云,1℃,4-5级~3-4级,2015-02-07
东营,北风~南风,-6℃,晴,0℃,3-4级,2015-02-08
东营,西南风,-5℃,晴,7℃,3-4级,2015-02-09
东营,无持续风向,-2℃,晴,11℃,微风,2015-02-10
东营,东北风~北风,-5℃,多云~晴,6℃,3-4级,2015-02-11
东营,东北风~南风,-4℃,晴,5℃,3-4级,2015-02-12
东营,南风,-2℃,晴,11℃,3-4级,2015-02-13
东营,无持续风向,2℃,多云~阴,18℃,微风,2015-02-14
东营,东北风~西北风,2℃,小雨~多云,9℃,3-4级,2015-02-15
东营,西北风,-1℃,多云~晴,10℃,3-4级,2015-02-16
东营,东北风,-2℃,晴,8℃,3-4级,2015-02-17
东营,东北风~东南风,-3℃,晴,7℃,3-4级,2015-02-18
东营,东南风,-1℃,晴~多云,8℃,3-4级,2015-02-19
东营,东南风~北风,2℃,小雨,5℃,3-4级,2015-02-20
东营,西风~西北风,-3℃,多云~晴,10℃,3-4级~4-5级,2015-02-21
东营,西北风,-4℃,多云~晴,5℃,4-5级~3-4级,2015-02-22
东营,无持续风向,-3℃,晴~多云,8℃,微风,2015-02-23
东营,南风,1℃,多云~小雨,11℃,3-4级,2015-02-24
东营,北风,-3℃,多云~晴,8℃,3-4级,2015-02-25
东营,无持续风向,-3℃,晴~多云,5℃,微风,2015-02-26
东营,无持续风向,-1℃,多云~阴,4℃,微风,2015-02-27
东营,南风~西北风,0℃,阴~多云,6℃,3-4级,2015-02-28
滨州,无持续风向,-8℃,晴~多云,4℃,微风,2015-02-01
滨州,南风~西北风,-7℃,晴~多云,5℃,微风,2015-02-02
滨州,西风~北风,-4℃,多云,6℃,微风~3-4级,2015-02-03
滨州,西北风,-5℃,晴,4℃,3-4级,2015-02-04
滨州,无持续风向,-5℃,晴,5℃,微风,2015-02-05
滨州,西南风~东北风,-5℃,多云,8℃,微风,2015-02-06
滨州,东北风~西北风,-8℃,多云~晴,3℃,4-5级~3-4级,2015-02-07
滨州,西北风~西南风,-8℃,晴,1℃,微风,2015-02-08
滨州,西南风,-7℃,晴,7℃,3-4级,2015-02-09
滨州,西南风,-4℃,晴~多云,11℃,3-4级,2015-02-10
滨州,东北风~南风,-6℃,多云~晴,9℃,3-4级~微风,2015-02-11
滨州,北风~东南风,-6℃,晴,6℃,微风,2015-02-12
滨州,西南风,-4℃,晴,11℃,微风,2015-02-13
滨州,南风~东北风,1℃,晴~小雨,18℃,3-4级,2015-02-14
滨州,东北风~西北风,1℃,小雨~多云,10℃,3-4级,2015-02-15
滨州,西北风,-2℃,多云~晴,10℃,3-4级~微风,2015-02-16
滨州,东北风~南风,-4℃,晴,10℃,微风,2015-02-17
滨州,东北风~东南风,-6℃,晴,9℃,微风,2015-02-18
滨州,南风~东南风,-2℃,晴~多云,9℃,微风,2015-02-19
滨州,东南风~北风,2℃,小雨,7℃,微风,2015-02-20
滨州,西风~北风,-4℃,多云~晴,10℃,微风~3-4级,2015-02-21
滨州,西北风,-5℃,晴,6℃,3-4级~微风,2015-02-22
枣庄,东风,-5℃,多云,4℃,微风,2015-02-01
枣庄,无持续风向,-4℃,晴~多云,6℃,微风,2015-02-02
枣庄,无持续风向,-2℃,晴~多云,6℃,微风,2015-02-03
枣庄,北风,-4℃,多云~晴,7℃,微风,2015-02-04
枣庄,北风,-4℃,晴,7℃,3-4级~微风,2015-02-05
枣庄,南风,-3℃,晴~多云,8℃,微风,2015-02-06
枣庄,北风,-6℃,多云~晴,8℃,4-5级~3-4级,2015-02-07
枣庄,北风,-6℃,晴,2℃,3-4级~微风,2015-02-08
枣庄,无持续风向,-4℃,晴,6℃,微风,2015-02-09
枣庄,无持续风向,-2℃,晴,11℃,微风,2015-02-10
枣庄,无持续风向,-2℃,晴,12℃,微风,2015-02-11
枣庄,无持续风向,-1℃,晴~阴,10℃,微风,2015-02-12
枣庄,南风,0℃,晴~多云,12℃,3-4级,2015-02-13
枣庄,南风,7℃,多云~小雨,17℃,3-4级,2015-02-14
枣庄,无持续风向,2℃,小雨~多云,12℃,微风,2015-02-15
枣庄,无持续风向,0℃,多云~晴,13℃,微风,2015-02-16
滨州,南风,-5℃,晴,7℃,微风~3-4级,2015-02-23
滨州,南风,0℃,多云,12℃,3-4级,2015-02-24
滨州,北风,-4℃,多云~晴,9℃,3-4级,2015-02-25
滨州,无持续风向,-4℃,晴,6℃,微风,2015-02-26
滨州,无持续风向,-1℃,多云~阴,6℃,微风,2015-02-27
滨州,南风~西北风,-2℃,阴~晴,6℃,微风,2015-02-28
枣庄,东风,1℃,晴~多云,14℃,微风,2015-02-17
枣庄,无持续风向,-2℃,晴,10℃,微风,2015-02-18
枣庄,无持续风向,2℃,多云~小雨,8℃,微风,2015-02-19
枣庄,东风~北风,2℃,小雨,6℃,3-4级,2015-02-20
枣庄,无持续风向,1℃,多云,10℃,微风,2015-02-21
枣庄,北风,-2℃,晴,7℃,3-4级,2015-02-22
枣庄,北风~南风,-1℃,多云,8℃,微风,2015-02-23
枣庄,无持续风向,4℃,多云,12℃,微风,2015-02-24
枣庄,无持续风向,2℃,晴,14℃,微风,2015-02-25
枣庄,北风~南风,1℃,晴,11℃,3-4级,2015-02-26
枣庄,东风,0℃,多云~雨夹雪,5℃,3-4级,2015-02-27
枣庄,东风~北风,0℃,阴~多云,5℃,微风,2015-02-28
德州,北风,-5℃,多云~晴,4℃,3-4级,2015-02-01
德州,南风,-4℃,晴~多云,5℃,微风,2015-02-02
德州,西风~北风,-3℃,多云,6℃,微风,2015-02-03
德州,西北风,-4℃,晴,5℃,3-4级,2015-02-04
德州,北风~南风,-3℃,晴~多云,6℃,3-4级,2015-02-05
德州,西南风~北风,-3℃,多云,8℃,3-4级,2015-02-06
德州,东北风,-7℃,多云~晴,4℃,4-5级~3-4级,2015-02-07
德州,东北风,-6℃,晴,2℃,3-4级~微风,2015-02-08
德州,西南风,-3℃,晴,7℃,3-4级,2015-02-09
德州,西南风,-1℃,晴,12℃,3级,2015-02-10
德州,东北风,-3℃,晴,9℃,3-4级,2015-02-11
德州,东北风,-3℃,多云~晴,8℃,3-4级,2015-02-12
德州,南风,-2℃,晴~多云,12℃,3-4级,2015-02-13
德州,南风,5℃,多云~小雨,17℃,微风,2015-02-14
德州,东风~东北风,0℃,小雨~多云,7℃,微风,2015-02-15
德州,东北风,0℃,雾~晴,13℃,微风,2015-02-16
德州,北风,-2℃,晴,12℃,3-4级,2015-02-17
德州,东北风~南风,-2℃,晴,11℃,微风,2015-02-18
德州,南风,0℃,晴~多云,8℃,微风~3-4级,2015-02-19
德州,南风~北风,1℃,小雨,6℃,3-4级,2015-02-20
德州,北风,-2℃,阴~晴,8℃,3-4级,2015-02-21
德州,北风,-4℃,晴,7℃,3-4级,2015-02-22
德州,西南风,-1℃,晴~多云,9℃,微风,2015-02-23
德州,西南风,2℃,多云,12℃,3-4级,2015-02-24
德州,北风,-2℃,多云~晴,9℃,3-4级,2015-02-25
德州,北风,-2℃,晴,8℃,3-4级,2015-02-26
德州,东南风~南风,0℃,多云~雨夹雪,6℃,微风,2015-02-27
德州,东风~西南风,-1℃,阴~多云,7℃,微风,2015-02-28
威海,北风,-2℃,晴,2℃,3-4级,2015-02-01
威海,北风,-1℃,晴~多云,4℃,3-4级,2015-02-02
威海,北风,-2℃,多云~阴,3℃,4-5级,2015-02-03
威海,北风,-2℃,阴,2℃,5-6级,2015-02-04
威海,北风~南风,-3℃,晴~多云,0℃,5-6级~3-4级,2015-02-05
威海,南风,-1℃,晴,6℃,4-5级,2015-02-06
威海,北风,-7℃,多云~阵雪,3℃,4-5级~5-6级,2015-02-07
威海,北风~西风,-7℃,阵雪~多云,-3℃,6-7级~4-5级,2015-02-08
威海,北风~西风,-3℃,晴,3℃,6-7级~4-5级,2015-02-09
威海,西风,0℃,晴~多云,7℃,3-4级,2015-02-10
威海,北风,-2℃,多云~晴,4℃,4-5级~5-6级,2015-02-11
威海,北风,-3℃,多云~晴,3℃,4-5级,2015-02-12
威海,南风,-1℃,晴,6℃,4-5级,2015-02-13
威海,西南风~南风,6℃,多云~阴,13℃,5-6级~4-5级,2015-02-14
威海,东北风~北风,4℃,多云~小雨,11℃,4-5级,2015-02-15
威海,北风,-1℃,阴,5℃,4-5级~5-6级,2015-02-16
威海,北风,-1℃,多云~晴,3℃,5-6级,2015-02-17
威海,北风,-1℃,晴~多云,3℃,5-6级~4-5级,2015-02-18
威海,北风~南风,-1℃,晴,5℃,4-5级,2015-02-19
威海,南风,2℃,多云~小雨,6℃,4-5级,2015-02-20
威海,南风~北风,0℃,小雨~多云,8℃,3-4级~4-5级,2015-02-21
威海,北风,-2℃,多云~晴,2℃,5-6级~4-5级,2015-02-22
威海,西风,-2℃,晴,3℃,3-4级,2015-02-23
威海,南风,0℃,多云~小雨,8℃,4-5级,2015-02-24
威海,南风~北风,-2℃,小雨~多云,8℃,4-5级~5-6级,2015-02-25
威海,北风,-3℃,多云~晴,2℃,5-6级~4-5级,2015-02-26
威海,北风~东风,-2℃,晴~多云,1℃,5-6级~4-5级,2015-02-27
威海,南风~北风,-1℃,阴~多云,4℃,4-5级~5-6级,2015-02-28
南京,东北风,1℃,阴,4℃,微风,2015-02-01
南京,东风,0℃,阴,7℃,微风,2015-02-02
南京,北风,2℃,阴,6℃,微风,2015-02-03
南京,西北风~北风,-1℃,多云~晴,7℃,3-4级,2015-02-04
南京,西北风,-1℃,晴,8℃,3-4级~微风,2015-02-05
南京,西风,0℃,多云~晴,10℃,微风,2015-02-06
南京,西风~北风,-1℃,多云,12℃,微风~3-4级,2015-02-07
南京,东北风,-4℃,晴,6℃,3-4级~微风,2015-02-08
南京,东南风~东风,-3℃,晴,6℃,微风,2015-02-09
南京,南风,1℃,晴,11℃,3级,2015-02-10
南京,西风~西北风,2℃,晴,16℃,3-4级~微风,2015-02-11
南京,东北风~东风,3℃,晴~多云,14℃,微风~3-4级,2015-02-12
南京,东风,5℃,晴~多云,15℃,微风,2015-02-13
南京,东南风,6℃,多云~小雨,20℃,微风~3-4级,2015-02-14
南京,东南风~西风,9℃,阵雨~阴,16℃,微风,2015-02-15
南京,西北风~北风,4℃,阴~多云,14℃,3-4级~微风,2015-02-16
南京,东风,3℃,多云~晴,15℃,微风,2015-02-17
南京,东北风~东风,1℃,多云,12℃,3-4级~微风,2015-02-18
南京,东风~东南风,3℃,多云~阴,11℃,3-4级,2015-02-19
南京,东南风,6℃,小雨,8℃,3-4级,2015-02-20
南京,西北风,3℃,阴~多云,10℃,3-4级,2015-02-21
南京,东北风~东风,4℃,多云~小雨,12℃,3-4级~微风,2015-02-22
南京,东风,4℃,阴,9℃,微风,2015-02-23
南京,东南风,6℃,阴~小雨,12℃,微风,2015-02-24
南京,东风~东北风,6℃,小雨,10℃,微风~3-4级,2015-02-25
南京,东北风,3℃,阴~小雨,10℃,3-4级~4-5级,2015-02-26
南京,东风,2℃,中雨~小到中雨,6℃,4-5级,2015-02-27
郑州,无持续风向,-4℃,多云~晴,5℃,微风,2015-02-01
郑州,无持续风向,-3℃,多云,5℃,微风,2015-02-02
郑州,无持续风向,-2℃,晴,7℃,微风,2015-02-03
郑州,无持续风向,-3℃,晴,8℃,微风,2015-02-04
郑州,无持续风向,-2℃,晴~多云,8℃,微风,2015-02-05
郑州,无持续风向,0℃,晴,11℃,微风,2015-02-06
南京,东北风~西北风,1℃,小到中雨~雨夹雪,3℃,3-4级,2015-02-28
郑州,无持续风向,-2℃,多云~晴,10℃,微风,2015-02-07
郑州,无持续风向,-4℃,晴,6℃,微风,2015-02-08
郑州,无持续风向,-3℃,晴,9℃,微风,2015-02-09
郑州,无持续风向,3℃,晴,15℃,微风,2015-02-10
郑州,西北风~无持续风向,-1℃,晴,14℃,3-4级~微风,2015-02-11
郑州,无持续风向,0℃,晴,14℃,微风,2015-02-12
郑州,无持续风向,4℃,晴~多云,16℃,微风,2015-02-13
郑州,无持续风向,2℃,阴~小雨,15℃,微风,2015-02-14
郑州,无持续风向,4℃,霾~多云,13℃,微风,2015-02-15
郑州,西风~无持续风向,1℃,晴,15℃,3-4级~微风,2015-02-16
郑州,无持续风向,3℃,晴,16℃,微风,2015-02-17
郑州,无持续风向,2℃,晴~多云,11℃,微风,2015-02-18
郑州,无持续风向,2℃,多云~小雨,8℃,微风,2015-02-19
郑州,无持续风向,2℃,小雨~阴,6℃,微风,2015-02-20
郑州,无持续风向~西北风,3℃,多云~晴,13℃,微风~3-4级,2015-02-21
郑州,无持续风向,1℃,阴,10℃,微风,2015-02-22
郑州,无持续风向,2℃,阴~晴,8℃,微风,2015-02-23
惠州,无持续风向,10℃,阴~多云,16℃,微风,2015-02-01
惠州,无持续风向,10℃,多云,19℃,微风,2015-02-02
惠州,无持续风向,12℃,多云,20℃,微风,2015-02-03
惠州,无持续风向,9℃,多云,18℃,微风,2015-02-04
惠州,无持续风向,8℃,阴~多云,15℃,微风,2015-02-05
